competence;id_agent;modulation
c-s-comm-04;1 ;0
c-s-comm-04;2;0
c-s-comm-04;3;0
c-s-comm-04;4;0
c-s-comm-04;5;0
c-s-comm-04;6;0
c-s-comm-04;7;0
c-s-comm-04;8;0
c-s-comm-04;9;0
c-s-comm-04;10;0
c-s-comm-04;11;0
c-s-comm-04;12;0
c-s-comm-04;13;0
c-s-comm-04;14;0
c-s-comm-04;15;0
c-s-comm-04;16;0
c-s-comm-04;17;0
c-s-comm-04;18;0
c-s-comm-04;19;0
c-s-comm-04;20;0
c-s-comm-04;21;0
c-s-comm-04;22;0
c-s-comm-04;23;0
c-s-comm-04;24;0
c-s-comm-04;25;0
c-s-comm-04;26;0
c-s-comm-04;27;0
c-s-comm-04;28;2,5
c-s-comm-04;29;0
c-s-comm-04;30;0
c-s-comm-04;31;0
c-s-comm-04;32;0
c-s-comm-04;33;0
c-s-comm-04;34;0
c-s-comm-04;35;0
c-s-comm-04;36;0
c-s-comm-04;37;0
c-s-comm-04;38;0
c-s-comm-04;39;0
c-s-comm-04;40;0
c-s-comm-04;41;0
c-s-comm-04;42;2,5
c-s-comm-04;43;0
c-s-comm-04;44;0
c-s-comm-04;45;0
c-s-comm-04;46;0
c-s-comm-04;47;0
c-s-comm-04;48;0
c-s-comm-04;49;0
c-s-comm-04;50;0
c-s-comm-04;51;0
c-s-comm-04;52;0
c-s-comm-04;53;0
c-s-comm-04;54;0
c-s-comm-04;55;0
c-s-comm-04;56;0
c-s-comm-04;57;0
c-s-comm-04;58;0
c-s-comm-04;59;0
c-s-comm-04;60;0
c-s-comm-04;61;0
c-s-comm-04;62;0
c-s-comm-04;63;0
c-s-comm-04;64;0
c-s-comm-04;65;0
c-s-comm-04;66;0
c-s-comm-04;67;0
c-s-comm-04;68;0
c-s-comm-04;69;0
c-s-comm-04;70;0
c-s-comm-04;71;0
c-s-comm-04;72;0
c-s-comm-04;73;0
c-s-comm-04;74;0
c-s-comm-04;75;0
c-s-comm-04;76;0
c-s-comm-04;77;0
c-s-comm-04;78;0
c-s-comm-04;79;0
c-s-comm-04;80;0
c-s-comm-04;81;0
c-s-comm-04;82;0
c-s-comm-04;83;0
c-s-comm-04;84;0
c-s-comm-04;85;2,5
c-s-comm-04;86;0
c-s-comm-04;87;0
c-s-comm-04;88;0
c-s-comm-04;89;0
c-s-comm-04;90;0
c-s-comm-04;91;0
c-s-comm-04;92;0
c-s-comm-04;93;0
c-s-comm-04;94;0
c-s-comm-04;95;0
c-s-comm-04;96;2,5
c-s-comm-04;97;0
c-s-comm-04;98;0
c-s-comm-04;99;0
c-s-comm-04;100;0
c-s-comm-04;101;0
c-s-comm-04;102;0
